iso2;iso3;isonr;language;name
KM;COM;174;fr-KM;French (KM)
KN;KNA;659;en-KN;English (KN)
KP;PRK;408;ko-KP;Korean
KR;KOR;410;ko-KR;Korean
KR;KOR;410;en;English
KW;KWT;414;ar-KW;Arabic (KW)
KW;KWT;414;en;English
KY;CYM;136;en-KY;English (KY)
KZ;KAZ;398;kk;Kazakh
KZ;KAZ;398;ru;Russian
LA;LAO;418;lo;Lao
LA;LAO;418;fr;French
LA;LAO;418;en;English
LB;LBN;422;fr-LB;French (LB)
LB;LBN;422;ar-LB;Arabic (LB)
LB;LBN;422;en;English
LB;LBN;422;hy;Armenian
LC;LCA;662;en-LC;English (LC)
LI;LIE;438;de-LI;German (LI)
LK;LKA;144;si;Sinhala\Sinhalese
LK;LKA;144;ta;Tamil
LK;LKA;144;en;English
LR;LBR;430;en-LR;English (LR)
LS;LSO;426;en-LS;English (LS)
LS;LSO;426;zu;Zulu
LS;LSO;426;xh;Xhosa
LS;LSO;426;st;Sotho, Southern
LT;LTU;440;lt;Lithuanian
LT;LTU;440;ru;Russian
LT;LTU;440;pl;Polish
LU;LUX;442;lb;Luxembourgish\Letzeburgesch
LU;LUX;442;de-LU;German (LU)
LU;LUX;442;fr-LU;French (LU)
LV;LVA;428;lv;Latvian
LV;LVA;428;ru;Russian
LV;LVA;428;lt;Lithuanian
LY;LBY;434;ar-LY;Arabic (LY)
LY;LBY;434;it;Italian
LY;LBY;434;en;English
MA;MAR;504;ber;Berber languages
MA;MAR;504;ar-MA;Arabic (MA)
MA;MAR;504;fr;French
MC;MCO;492;fr-MC;French (MC)
MC;MCO;492;en;English
MC;MCO;492;it;Italian
MD;MDA;498;gag;Gagauz
MD;MDA;498;ro;Romanian\Moldavian\Moldovan
MD;MDA;498;ru;Russian
MD;MDA;498;tr;Turkish
ME;MNE;499;sr;Serbian
ME;MNE;499;hu;Hungarian
ME;MNE;499;bs;Bosnian
ME;MNE;499;sq;Albanian
ME;MNE;499;hr;Croatian
ME;MNE;499;ro;Romanian\Moldavian\Moldovan
MF;MAF;663;fr;French
MG;MDG;450;fr-MG;French (MG)
MG;MDG;450;mg;Malagasy
MH;MHL;584;en-MH;English (MH)
MH;MHL;584;mh;Ael___ in __aje_
MK;MKD;807;mk;Macedonian
MK;MKD;807;sq;Albanian
MK;MKD;807;tr;Turkish
MK;MKD;807;sr;Serbian
MK;MKD;807;rmm;Roma
ML;MLI;466;fr-ML;French (ML)
ML;MLI;466;bm;Bambara
MM;MMR;104;my;Burmese
MN;MNG;496;mn;Mongolian
MN;MNG;496;ru;Russian
MO;MAC;446;zh;Chinese
MO;MAC;446;zh-MO;Chinese (MO)
MO;MAC;446;pt;Portuguese
MP;MNP;580;ch-MP;Chamorro (MP)
MP;MNP;580;fil;Filipino, Pilipino
MP;MNP;580;zh;Chinese
MP;MNP;580;en-MP;English (MP)
MP;MNP;580;tl;Tagalog
MQ;MTQ;474;fr-MQ;French (MQ)
MR;MRT;478;fuc;Pulaar
MR;MRT;478;ar-MR;Arabic (MR)
MR;MRT;478;fr;French
MR;MRT;478;wo;Wolof
MR;MRT;478;mey;Hassaniyya
MR;MRT;478;snk;Soninke
